precinct,rep-vote,rep-percent,dem-vote,dem-percent
0001 001 ASHTABULA CITY 1A,132,33.76,251,64.19
0002 002 ASHTABULA CITY 1B,87,30.96,190,67.62
0003 003 ASHTABULA CITY 1C,58,28.16,144,69.90
0004 004 ASHTABULA CITY 1D,85,29.51,196,68.06
0005 005 ASHTABULA CITY 1E,138,36.22,236,61.94
0006 006 ASHTABULA CITY 1F,110,37.80,177,60.82
0007 007 ASHTABULA CITY 1G,79,32.78,160,66.39
0008 008 ASHTABULA CITY 2A,67,23.67,212,74.91
0009 009 ASHTABULA CITY 2B,85,30.14,191,67.73
0010 010 ASHTABULA CITY 2C,76,23.82,231,72.41
0011 011 ASHTABULA CITY 2D,69,27.94,171,69.23
0012 012 ASHTABULA CITY 2E,89,32.25,179,64.86
0013 013 ASHTABULA CITY 2F,63,23.95,198,75.29
0014 014 ASHTABULA CITY 3A,35,21.88,122,76.25
0015 015 ASHTABULA CITY 3B,65,22.73,214,74.83
0016 016 ASHTABULA CITY 3C,54,21.60,191,76.40
0017 017 ASHTABULA CITY 3D,30,9.55,282,89.81
0018 018 ASHTABULA CITY 4A,45,21.33,160,75.83
0019 019 ASHTABULA CITY 4B,71,26.20,189,69.74
0020 020 ASHTABULA CITY 4C,108,37.50,171,59.38
0021 021 ASHTABULA CITY 4D,96,32.21,199,66.78
0022 022 ASHTABULA CITY 4E,79,37.26,128,60.38
0023 023 ASHTABULA CITY 5A,60,27.52,153,70.18
0024 024 ASHTABULA CITY 5B,49,20.68,183,77.22
0025 025 ASHTABULA CITY 5C,68,29.96,151,66.52
0026 026 ASHTABULA CITY 5D,119,40.20,177,59.80
0027 027 ASHTABULA CITY 5E,67,23.84,212,75.44
0028 028 CONNEAUT CITY 1A,109,37.33,177,60.62
0029 029 CONNEAUT CITY 1B,115,40.35,167,58.60
0030 030 CONNEAUT CITY 1C,92,32.06,186,64.81
0031 031 CONNEAUT CITY 1D,97,40.93,132,55.70
0032 032 CONNEAUT CITY 2A,179,35.87,309,61.92
0033 033 CONNEAUT CITY 2B,100,33.22,188,62.46
0034 034 CONNEAUT CITY 2C,141,41.47,189,55.59
0035 035 CONNEAUT CITY 2D,224,46.96,245,51.36
0036 036 CONNEAUT CITY 3A,111,37.63,179,60.68
0037 037 CONNEAUT CITY 3B,144,38.50,223,59.63
0038 038 CONNEAUT CITY 3C,92,27.71,232,69.88
0039 039 CONNEAUT CITY 3D,127,30.75,272,65.86
0040 040 CONNEAUT CITY 4A,90,28.85,213,68.27
0041 041 CONNEAUT CITY 4B,65,29.28,157,70.72
0042 042 CONNEAUT CITY 4C,83,29.43,185,65.60
0043 043 CONNEAUT CITY 4D,62,28.44,149,68.35
0044 044 GENEVA CITY 1,158,43.77,196,54.29
0045 045 GENEVA CITY 2,77,37.20,123,59.42
0046 046 GENEVA CITY 3,162,39.71,234,57.35
0047 047 GENEVA CITY 4,168,38.18,259,58.86
0048 048 GENEVA CITY 5,107,39.78,151,56.13
0049 049 GENEVA CITY 6,91,34.60,165,62.74
0050 050 GENEVA CITY 7,171,41.40,229,55.45
0051 051 GENEVA CITY 8,187,46.17,214,52.84
0052 052 ANDOVER VILLAGE 1,91,42.13,119,55.09
0053 053 ANDOVER VILLAGE 2,117,53.67,100,45.87
0054 054 ANDOVER TWP 1,208,46.53,231,51.68
0055 055 ANDOVER TWP 2,203,55.01,156,42.28
0056 056 ASHTABULA TWP 1,143,36.20,246,62.28
0057 057 ASHTABULA TWP 2,174,49.15,177,50.00
0058 058 ASHTABULA TWP 3,96,29.45,226,69.33
0059 059 ASHTABULA TWP 4,90,30.93,190,65.29
0060 060 ASHTABULA TWP 5,174,39.55,258,58.64
0061 061 ASHTABULA TWP 6,98,31.92,203,66.12
0062 062 ASHTABULA TWP 7,107,40.68,153,58.17
0063 063 ASHTABULA TWP 8,136,36.17,231,61.44
0064 064 AUSTINBURG TWP 1,342,51.58,305,46.00
0065 065 AUSTINBURG TWP 2,281,46.99,310,51.84
0066 066 CHERRY VALLEY TWP,194,52.15,165,44.35
0067 067 COLEBROOK TWP,202,51.01,180,45.45
0068 068 DENMARK TWP,167,40.93,223,54.66
0069 069 DORSET TWP,202,51.93,176,45.24
0070 070 GEN ON LAKE VILL 1,73,40.33,104,57.46
0071 071 GEN ON LAKE VILL 2,115,34.53,212,63.66
0072 072 GENEVA TWP 1,166,39.81,240,57.55
0073 073 GENEVA TWP 2,188,47.72,199,50.51
0074 074 GENEVA TWP 3,181,42.29,235,54.91
0075 075 GENEVA TWP 4,123,38.56,192,60.19
0076 076 HARPERSFIELD TWP 1,236,53.76,191,43.51
0077 077 HARPERSFIELD TWP 2,285,51.35,262,47.21
0078 078 HARPERSFIELD TWP 3,222,48.37,224,48.80
0079 079 HARTSGROVE TWP 1,237,57.11,162,39.04
0080 080 HARTSGROVE TWP 2,162,58.06,106,37.99
0081 081 JEFFERSON VILL 1,156,48.75,155,48.44
0082 082 JEFFERSON VILL 2,141,52.42,124,46.10
0083 083 JEFFERSON VILL 3,181,44.04,218,53.04
0084 084 JEFFERSON VILL 4,251,51.33,230,47.03
0085 085 JEFFERSON TWP 1,182,49.73,169,46.17
0086 086 JEFFERSON TWP 2,146,47.10,158,50.97
0087 087 JEFFERSON TWP 3,208,52.13,185,46.37
0088 088 KINGSVILLE TWP 1,218,48.99,216,48.54
0089 089 KINGSVILLE TWP 2,213,45.91,239,51.51
0090 090 LENOX TWP 1,198,54.70,148,40.88
0091 091 LENOX TWP 2,181,49.73,170,46.70
0092 092 MONROE TWP 1,271,47.88,283,50.00
0093 093 MONROE TWP 2,235,44.85,266,50.76
0094 094 ROCK CREEK VILL,95,43.98,114,52.78
0095 095 MORGAN TWP,236,53.03,192,43.15
0096 096 NEW LYME TWP,250,50.61,228,46.15
0097 097 N KINGSVILLE VILL 1,246,43.62,306,54.26
0098 098 N KINGSVILLE VILL 2,210,45.65,242,52.61
0099 099 N KINGSVILLE VILL 3,117,43.49,145,53.90
0100 100 N KINGSVILLE VILL 4,103,35.89,178,62.02
0101 101 ORWELL VILL,246,42.34,316,54.39
0102 102 ORWELL TWP,307,53.67,249,43.53
0103 103 PIERPONT TWP,312,56.01,225,40.39
0104 104 PLYMOUTH TWP 1,185,45.79,216,53.47
0105 105 PLYMOUTH TWP 2,189,47.01,199,49.50
0106 106 PLYMOUTH TWP 3,128,41.97,171,56.07
0107 107 RICHMOND TWP,203,49.39,196,47.69
0108 108 ROAMING SHORES VILL,423,55.44,332,43.51
0109 109 ROME TWP,210,45.45,234,50.65
0110 110 SAYBROOK TWP 1,162,50.15,149,46.13
0111 111 SAYBROOK TWP 2,117,29.55,263,66.41
0112 112 SAYBROOK TWP 3,121,36.01,207,61.61
0113 113 SAYBROOK TWP 4,203,44.23,244,53.16
0114 114 SAYBROOK TWP 5,167,37.03,272,60.31
0115 115 SAYBROOK TWP 6,126,48.65,132,50.97
0116 116 SAYBROOK TWP 7,159,44.17,193,53.61
0117 117 SAYBROOK TWP 8,134,40.73,189,57.45
0118 118 SAYBROOK TWP 9,111,36.63,187,61.72
0119 119 SHEFFIELD TWP 1,132,39.76,191,57.53
0120 120 SHEFFIELD TWP 2,193,44.68,229,53.01
0121 121 TRUMBULL TWP 1,217,59.62,140,38.46
0122 122 TRUMBULL TWP 2,189,46.90,208,51.61
0123 123 WAYNE TWP,149,54.78,115,42.28
0124 124 WILLIAMSFIELD TWP 1,147,54.24,114,42.07
0125 125 WILLIAMSFIELD TWP 2,187,50.13,182,48.79
0126 126 WINDSOR TWP 1,222,53.49,181,43.61
0127 127 WINDSOR TWP 2,123,51.25,109,45.42
